"","cat_pais","ncat_eleccion","ncat_ronda","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy"
"188","Guatemala",1991,1,3,"Base Qof p_polity2",0.509,"Base Qof vdem_edcomp_thick",0.374,"Base Qof vdem_polyarchy"
"189","Nicaragua",1990,1,6,"Base Qof p_polity2",0.706,"Base Qof vdem_edcomp_thick",0.637,"Base Qof vdem_polyarchy"
"190","Peru",1990,2,8,"Base Qof p_polity2",0.724,"Base Qof vdem_edcomp_thick",0.616,"Base Qof vdem_polyarchy"
"191","Peru",1990,1,8,"Base Qof p_polity2",0.724,"Base Qof vdem_edcomp_thick",0.616,"Base Qof vdem_polyarchy"
"192","Republica Dominicana",1990,1,5,"Base Qof p_polity2",0.512,"Base Qof vdem_edcomp_thick",0.457,"Base Qof vdem_polyarchy"
"193","Argentina",1989,1,7,"Base Qof p_polity2",0.87,"Base Qof vdem_edcomp_thick",0.834,"Base Qof vdem_polyarchy"
"194","Bolivia",1989,1,9,"Base Qof p_polity2",0.737,"Base Qof vdem_edcomp_thick",0.654,"Base Qof vdem_polyarchy"
"195","Brasil",1989,2,8,"Base Qof p_polity2",0.768,"Base Qof vdem_edcomp_thick",0.71,"Base Qof vdem_polyarchy"
"196","Brasil",1989,1,8,"Base Qof p_polity2",0.768,"Base Qof vdem_edcomp_thick",0.71,"Base Qof vdem_polyarchy"
"197","Chile",1989,1,8,"Base Qof p_polity2",0.177,"Base Qof vdem_edcomp_thick",0.135,"Base Qof vdem_polyarchy"
"198","El Salvador",1989,1,6,"Base Qof p_polity2",0.321,"Base Qof vdem_edcomp_thick",0.21,"Base Qof vdem_polyarchy"
"199","Honduras",1989,1,6,"Base Qof p_polity2",0.521,"Base Qof vdem_edcomp_thick",0.415,"Base Qof vdem_polyarchy"
"200","Paraguay",1989,1,2,"Base Qof p_polity2",0.326,"Base Qof vdem_edcomp_thick",0.193,"Base Qof vdem_polyarchy"
"201","Uruguay",1989,1,10,"Base Qof p_polity2",0.87,"Base Qof vdem_edcomp_thick",0.814,"Base Qof vdem_polyarchy"
"202","Ecuador",1988,2,9,"Base Qof p_polity2",0.8,"Base Qof vdem_edcomp_thick",0.707,"Base Qof vdem_polyarchy"
"203","Ecuador",1988,1,9,"Base Qof p_polity2",0.8,"Base Qof vdem_edcomp_thick",0.707,"Base Qof vdem_polyarchy"
"204","Mexico",1988,1,0,"Base Qof p_polity2",0.437,"Base Qof vdem_edcomp_thick",0.346,"Base Qof vdem_polyarchy"
"205","Venezuela",1988,1,9,"Base Qof p_polity2",0.786,"Base Qof vdem_edcomp_thick",0.734,"Base Qof vdem_polyarchy"
"206","Colombia",1986,1,8,"Base Qof p_polity2",0.55,"Base Qof vdem_edcomp_thick",0.454,"Base Qof vdem_polyarchy"
"207","Costa Rica",1986,1,10,"Base Qof p_polity2",0.894,"Base Qof vdem_edcomp_thick",0.872,"Base Qof vdem_polyarchy"
"208","Republica Dominicana",1986,1,5,"Base Qof p_polity2",0.597,"Base Qof vdem_edcomp_thick",0.531,"Base Qof vdem_polyarchy"
"209","Bolivia",1985,1,9,"Base Qof p_polity2",0.515,"Base Qof vdem_edcomp_thick",0.469,"Base Qof vdem_polyarchy"
"210","Guatemala",1985,2,-1,"Base Qof p_polity2",0.183,"Base Qof vdem_edcomp_thick",0.151,"Base Qof vdem_polyarchy"
"211","Guatemala",1985,1,-1,"Base Qof p_polity2",0.183,"Base Qof vdem_edcomp_thick",0.151,"Base Qof vdem_polyarchy"
"212","Honduras",1985,1,5,"Base Qof p_polity2",0.522,"Base Qof vdem_edcomp_thick",0.404,"Base Qof vdem_polyarchy"
"213","Peru",1985,1,7,"Base Qof p_polity2",0.735,"Base Qof vdem_edcomp_thick",0.669,"Base Qof vdem_polyarchy"
"214","Ecuador",1984,2,9,"Base Qof p_polity2",0.789,"Base Qof vdem_edcomp_thick",0.697,"Base Qof vdem_polyarchy"
"215","Ecuador",1984,1,9,"Base Qof p_polity2",0.789,"Base Qof vdem_edcomp_thick",0.697,"Base Qof vdem_polyarchy"
"216","El Salvador",1984,2,6,"Base Qof p_polity2",0.232,"Base Qof vdem_edcomp_thick",0.157,"Base Qof vdem_polyarchy"
"217","El Salvador",1984,1,6,"Base Qof p_polity2",0.232,"Base Qof vdem_edcomp_thick",0.157,"Base Qof vdem_polyarchy"
"218","Nicaragua",1984,1,-1,"Base Qof p_polity2",0.2,"Base Qof vdem_edcomp_thick",0.199,"Base Qof vdem_polyarchy"
"219","Uruguay",1984,1,-7,"Base Qof p_polity2",0.173,"Base Qof vdem_edcomp_thick",0.13,"Base Qof vdem_polyarchy"
"220","Argentina",1983,1,8,"Base Qof p_polity2",0.231,"Base Qof vdem_edcomp_thick",0.195,"Base Qof vdem_polyarchy"
"221","Venezuela",1983,1,9,"Base Qof p_polity2",0.785,"Base Qof vdem_edcomp_thick",0.736,"Base Qof vdem_polyarchy"
"222","Colombia",1982,1,8,"Base Qof p_polity2",0.555,"Base Qof vdem_edcomp_thick",0.414,"Base Qof vdem_polyarchy"
"223","Costa Rica",1982,1,10,"Base Qof p_polity2",0.889,"Base Qof vdem_edcomp_thick",0.867,"Base Qof vdem_polyarchy"
"224","Guatemala",1982,1,-7,"Base Qof p_polity2",0.176,"Base Qof vdem_edcomp_thick",0.11,"Base Qof vdem_polyarchy"
"225","Mexico",1982,1,-3,"Base Qof p_polity2",0.396,"Base Qof vdem_edcomp_thick",0.315,"Base Qof vdem_polyarchy"
"226","Republica Dominicana",1982,1,5,"Base Qof p_polity2",0.567,"Base Qof vdem_edcomp_thick",0.51,"Base Qof vdem_polyarchy"
"227","Honduras",1981,1,4,"Base Qof p_polity2",0.184,"Base Qof vdem_edcomp_thick",0.192,"Base Qof vdem_polyarchy"
"228","Bolivia",1980,1,-7,"Base Qof p_polity2",0.211,"Base Qof vdem_edcomp_thick",0.127,"Base Qof vdem_polyarchy"
"229","Peru",1980,1,7,"Base Qof p_polity2",0.461,"Base Qof vdem_edcomp_thick",0.446,"Base Qof vdem_polyarchy"
"230","Bolivia",1979,1,-4,"Base Qof p_polity2",0.18,"Base Qof vdem_edcomp_thick",0.143,"Base Qof vdem_polyarchy"
"231","Ecuador",1979,2,9,"Base Qof p_polity2",0.431,"Base Qof vdem_edcomp_thick",0.402,"Base Qof vdem_polyarchy"
"232","Ecuador",1979,1,9,"Base Qof p_polity2",0.431,"Base Qof vdem_edcomp_thick",0.402,"Base Qof vdem_polyarchy"
"233","Bolivia",1978,1,-4,"Base Qof p_polity2",0.147,"Base Qof vdem_edcomp_thick",0.109,"Base Qof vdem_polyarchy"
"234","Colombia",1978,1,8,"Base Qof p_polity2",0.546,"Base Qof vdem_edcomp_thick",0.425,"Base Qof vdem_polyarchy"
"235","Costa Rica",1978,1,10,"Base Qof p_polity2",0.869,"Base Qof vdem_edcomp_thick",0.827,"Base Qof vdem_polyarchy"
"236","Guatemala",1978,1,-5,"Base Qof p_polity2",0.284,"Base Qof vdem_edcomp_thick",0.167,"Base Qof vdem_polyarchy"
"237","Republica Dominicana",1978,1,5,"Base Qof p_polity2",0.437,"Base Qof vdem_edcomp_thick",0.361,"Base Qof vdem_polyarchy"
"238","Venezuela",1978,1,9,"Base Qof p_polity2",0.783,"Base Qof vdem_edcomp_thick",0.733,"Base Qof vdem_polyarchy"
"239","Colombia",1974,1,8,"Base Qof p_polity2",0.515,"Base Qof vdem_edcomp_thick",0.423,"Base Qof vdem_polyarchy"
"240","Costa Rica",1974,1,10,"Base Qof p_polity2",0.783,"Base Qof vdem_edcomp_thick",0.743,"Base Qof vdem_polyarchy"
"241","Guatemala",1974,1,-3,"Base Qof p_polity2",0.288,"Base Qof vdem_edcomp_thick",0.174,"Base Qof vdem_polyarchy"
"242","Venezuela",1973,1,9,"Base Qof p_polity2",0.759,"Base Qof vdem_edcomp_thick",0.709,"Base Qof vdem_polyarchy"
"243","Costa Rica",1970,1,10,"Base Qof p_polity2",0.779,"Base Qof vdem_edcomp_thick",0.741,"Base Qof vdem_polyarchy"
"244","Guatemala",1970,1,1,"Base Qof p_polity2",0.291,"Base Qof vdem_edcomp_thick",0.177,"Base Qof vdem_polyarchy"
"245","Ecuador",1968,1,5,"Base Qof p_polity2",0.288,"Base Qof vdem_edcomp_thick",0.277,"Base Qof vdem_polyarchy"
"246","Venezuela",1968,1,7,"Base Qof p_polity2",0.715,"Base Qof vdem_edcomp_thick",0.653,"Base Qof vdem_polyarchy"
"247","Costa Rica",1966,1,10,"Base Qof p_polity2",0.78,"Base Qof vdem_edcomp_thick",0.737,"Base Qof vdem_polyarchy"
"248","Guatemala",1966,1,3,"Base Qof p_polity2",0.185,"Base Qof vdem_edcomp_thick",0.129,"Base Qof vdem_polyarchy"
"249","Venezuela",1963,1,6,"Base Qof p_polity2",0.719,"Base Qof vdem_edcomp_thick",0.657,"Base Qof vdem_polyarchy"
"250","Costa Rica",1962,1,10,"Base Qof p_polity2",0.775,"Base Qof vdem_edcomp_thick",0.733,"Base Qof vdem_polyarchy"
"251","Ecuador",1960,1,1,"Base Qof p_polity2",0.433,"Base Qof vdem_edcomp_thick",0.36,"Base Qof vdem_polyarchy"
"252","Venezuela",1958,1,6,"Base Qof p_polity2",0.248,"Base Qof vdem_edcomp_thick",0.267,"Base Qof vdem_polyarchy"
