"","cat_pais","ncat_eleccion","ncat_ronda","propindivinternet2","propindivinternet","source_propindivinternet2","source_propindivinternet"
"209","Peru",2001,1,7.57876,7.57876,"UIT, con base en: Maximixe estimate.","UIT, con base en: Maximixe estimate."
"210","Peru",2006,1,20.7,20.7,"UIT, con base en: ITU estimate based on INEI.","UIT, con base en: ITU estimate based on INEI."
"211","Peru",2011,1,36.01,36.01,"UIT, con base en: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI)","UIT, con base en: INSTITUTO NACIONAL DE ESTADÍSTICA E INFORMÁTICA (INEI)"
"212","Peru",2016,1,45.4617,45.4617,"UIT, con base en: Instituto Nacional de Estadistica e Informatica","UIT, con base en: Instituto Nacional de Estadistica e Informatica"
"213","Peru",2021,1,71.1078,71.1078,"UIT, con base en: Instituto Nacional de Estadistica e Informatica","UIT, con base en: Instituto Nacional de Estadistica e Informatica"
"214","Ecuador",1979,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"215","Ecuador",1984,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"216","Ecuador",1988,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"217","Ecuador",1992,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"218","Ecuador",1996,1,0,0.417768571428571,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"219","Ecuador",1998,1,0,1.04442142857143,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"220","Ecuador",2002,1,4.2608,4.2608,"UIT, con base en: ","UIT, con base en: "
"221","Ecuador",2006,1,7.2,7.2,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"222","Ecuador",2017,1,55.8,55.8,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"223","Ecuador",2021,1,70.2073,70.2073,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"224","Ecuador",2023,1,72.6943,72.6943,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos"
"225","Uruguay",1999,1,0,8.78258333333333,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"226","Uruguay",2009,1,41.8,41.8,"UIT, con base en: Instituto Nacional de Estadística (INE).","UIT, con base en: Instituto Nacional de Estadística (INE)."
"227","Uruguay",2014,1,61.4625,61.4625,"UIT, con base en: I.N.E","UIT, con base en: I.N.E"
"228","Uruguay",2019,1,83.3515,83.3515,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"229","Guatemala",1985,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"230","Guatemala",1991,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"231","Guatemala",1995,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"232","Guatemala",1999,1,0,0.593610833333333,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"233","Guatemala",2003,1,4.54885,4.54885,"UIT, con base en: ","UIT, con base en: "
"234","Guatemala",2007,1,7.3,7.3,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"235","Guatemala",2011,1,12.3,12.3,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"236","Guatemala",2015,1,28.8059,28.8059,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"237","Guatemala",2019,1,44.401,44.401,"UIT, con base en: Instituto Nacional de Estadistica","UIT, con base en: Instituto Nacional de Estadistica"
"238","Guatemala",2023,1,54.4043,54.4043,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"239","Colombia",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"240","Colombia",1998,1,0,1.47168666666667,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"241","Colombia",2010,1,36.5,36.5,"UIT, con base en: Departamento Administrativo Nacional de Estadística-DANE.","UIT, con base en: Departamento Administrativo Nacional de Estadística-DANE."
"242","Colombia",2014,1,52.5681,52.5681,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"243","Colombia",2018,1,64.1264,64.1264,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"244","Colombia",2022,1,72.7964,72.7964,"UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)","UIT, con base en: Departamento Administrativo Nacional de Estadistica (DANE)"
"245","Costa Rica",2002,1,19.8949,19.8949,"UIT, con base en: ","UIT, con base en: "
"246","Costa Rica",2014,1,53,53,"UIT, con base en: ITU estimate.","UIT, con base en: ITU estimate."
"247","Costa Rica",2018,1,73.4797,73.4797,"UIT, con base en: Instituto Nacional de Estadisticas y Censos","UIT, con base en: Instituto Nacional de Estadisticas y Censos"
"248","Costa Rica",2022,1,82.598,82.598,"UIT, con base en: Instituto Nacional de Estadisticas y Censos","UIT, con base en: Instituto Nacional de Estadisticas y Censos"
"249","Republica Dominicana",1996,1,0,1.23489666666667,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation("
"250","El Salvador",1984,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"251","El Salvador",1994,1,0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas"
"252","El Salvador",2014,1,24.7617,24.7617,"UIT, con base en: Dirección General de Estadística y Censos. (DIGESTYC)","UIT, con base en: Dirección General de Estadística y Censos. (DIGESTYC)"
